"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 07:34:05 GMT 2025","Thu Jul 10 07:34:07 GMT 2025","2412","LMS system","Authentication","Authorization","","","User gets login with wrong email or password",""
"passed","Thu Jul 10 07:34:17 GMT 2025","Thu Jul 10 07:34:17 GMT 2025","0","tests.pytest","python_tests","TestCheckout","","","test_invalid_checkout",""
"passed","Thu Jul 10 07:34:17 GMT 2025","Thu Jul 10 07:34:17 GMT 2025","0","tests.pytest","python_tests","TestRegistration","","","test_invalid_registration",""
"passed","Thu Jul 10 07:34:05 GMT 2025","Thu Jul 10 07:34:09 GMT 2025","4362","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Jul 10 07:34:08 GMT 2025","Thu Jul 10 07:34:10 GMT 2025","2238","LMS system","Authentication","Authorization","","","User gets login with wrong email or password",""
"passed","Thu Jul 10 07:34:17 GMT 2025","Thu Jul 10 07:34:17 GMT 2025","0","tests.pytest","python_tests","TestLogin","","","test_invalid_login",""
"passed","Thu Jul 10 07:34:05 GMT 2025","Thu Jul 10 07:34:07 GMT 2025","1959","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Jul 10 07:34:18 GMT 2025","Thu Jul 10 07:34:18 GMT 2025","1","tests.pytest","python_tests","TestRegistration","","","test_valid_registration",""
"passed","Thu Jul 10 07:34:15 GMT 2025","Thu Jul 10 07:34:17 GMT 2025","2589","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Jul 10 07:34:17 GMT 2025","Thu Jul 10 07:34:17 GMT 2025","1","tests.pytest","python_tests","TestCheckout","","","test_valid_checkout",""
"passed","Thu Jul 10 07:34:14 GMT 2025","Thu Jul 10 07:34:18 GMT 2025","4391","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Jul 10 07:34:10 GMT 2025","Thu Jul 10 07:34:12 GMT 2025","1835","LMS system","Authentication","Authorization","","","User gets login with wrong email or password",""
"passed","Thu Jul 10 07:34:08 GMT 2025","Thu Jul 10 07:34:10 GMT 2025","2835","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Jul 10 07:34:13 GMT 2025","Thu Jul 10 07:34:14 GMT 2025","1547","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Jul 10 07:34:13 GMT 2025","Thu Jul 10 07:34:17 GMT 2025","3922","LMS system","Courses","Courses","","","Create course",""
